	utterance	topics
2913	No, I haven't. I'm not really into her music.	(music,no)|(singer,no)|(Billie Eilish,no)
6793	Not really, I mostly cook at home or order in.	(food,yes)|(restaurants,no)
8076	I'm doing well.	(wellness,yes)|(current mood,yes)
10406	Fine, thanks.	(greeting,yes)
1642	Honestly, I don't have any hobbies.	(hobbies,no)
2064	No problem, take care.	(general chat,yes)
7766	I do like music, but I haven't been to a concert in ages.	(music,yes)|(concerts,no)
7055	It can be challenging, but it's also really rewarding. Have you been on any outdoor adventures before?	(outdoor activities,yes)|(hiking,unknown)
13278	Sorry, I'm really not into sports at all.	(sports,no)
126	I don't know, I just watch a lot of YouTube videos, I guess.	(fun,no)|(YouTube,unknown)
5762	No, I'm not interested in that show.	(TV show,no)|(Black Mirror,no)
1839	You too!	(farewell,yes)
9330	Hmm, I'm not really into Italian food.	(food,yes)|(food type,no)|(Italian food,no)
4575	It was good, went out with some friends.	(weekend,yes)|(friends,yes)
3445	Wow, I'm actually really interested in that. I've been trying to become more eco-friendly lately. Maybe her work will inspire me.	(museum,yes)|(ecology,yes)
9930	Not really. I find them crowded and loud.	(music,no)|(concert,no)
12058	Not really, I prefer to stay close to home.	(travel,no)
1569	Yeah, comedies can be pretty funny sometimes.	(movies,yes)|(movie genre,yes)|(comedy,yes)
1851	Just some crime dramas and reality TV. Nothing too exciting.	(TV shows,no)
8001	I haven't yet. Is it any good?	(food,yes)|(taco place,unknown)
6771	Not too great.	(well-being,no)
1539	Honestly, I'm not that adventurous when it comes to food. I mostly stick to American cuisine.	(food,yes)|(cuisine,yes)
3294	"It's called ""Blended."" It's really formulaic and predictable."	(tv shows,yes)|(bad romantic comedy,yes)|(Blended,no)
10191	I'm not really a fan of Italian food.	(food,yes)|(Italian cuisine,no)
4505	Yeah, I do! Just made some amazing pancakes for breakfast.	(food,yes)|(cooking,yes)|(pancakes,yes)
1378	I'm a sucker for dumplings, how about you?	(restaurant,yes)|(Chinese dish,yes)|(dumplings,yes)
8111	I'm actually really interested in history.	(hobbies,yes)|(history,yes)
12611	Not really, I haven't had time to go to the cinema.	(movie,no)
5294	"I like ""One Piece,"" ""Naruto,"" and ""Attack on Titan."" They're all really good."	"(interests,yes)|(manga titles,yes)|([""One Piece"", ""Naruto"", ""Attack on Titan""], yes)"
7757	I love hiking and spending time outdoors.	(outdoor activities,yes)|(hiking,yes)
7095	I haven't really been watching any TV shows lately.	(TV shows,no)
9121	Yeah, most people find it pretty boring. But I love it.	(hobby,yes)|(unique hobby,no)|(stamp collecting,yes)
9695	Yeah, I just finished this sci-fi novel, it was really engaging.	(book,yes)|(sci-fi novel,yes)
5276	Not much, just stayed at home and watched some TV.	(weekend,yes)|(TV,no)
8513	Not great, I spilled coffee all over my shirt earlier.	(emotions,no)
446	Well, I'm not really sure. Perhaps, abstract art.	(art,yes)|(art style,yes)|(abstract art,yes)
4312	Actually, I didn't like that one very much.	(movie,yes)|(movie title,unknown)|(Gone Girl,no)
12817	Yeah, I know what you mean. It's all just a big mess. Well, I should probably get going. Nice talking to you!	(farewells,yes)
10560	Yes, I did. It was really well done.	(movies,yes)|(The Martian movie,yes)
6809	It's about this guy who becomes a freelance crime journalist and starts to get increasingly involved in the crimes he's reporting on.	(movies,yes)|(movie plot,yes)
3737	"It was called ""Attack of the Killer Tomatoes"". Truly awful."	(movie,no)|(movie title,no)
4581	No, I'm not interested in scuba diving.	(hobby,yes|scuba diving,no)
5368	No, I haven't started watching it yet.	(TV,yes)
11043	No, thanks. I don't think I'm ready for that kind of challenge yet.	(food,yes)|(pasta recipe,no)
11341	I enjoy pop music for the most part, but I also dabble in a little bit of hip hop. What about you?	(music,yes)|(music genre,yes)
12680	Sorry, I'm not really into hiking.	(activity,yes)|(hiking,no)
2215	Same here, have a great day!	(small talk,unknown)
4550	No, I haven't really been keeping up with movies.	(movies,no)
5138	I like Thai food. There's a really good restaurant down the street that I frequent.	(food,yes)|(cuisine,yes)|(Thai food,yes)
4659	The Da Vinci Code, hands down.	(books,yes)|(favorite book,yes)|(The Da Vinci Code,yes)
8603	I tried their spaghetti with meatballs. It was pretty good, but nothing special.	(food,yes)|(spaghetti with meatballs,yes)
9812	Well, have you tried Il Forno? Their pizzas are amazing.	(food,yes)|(restaurant,yes)|(Il Forno,yes)
12234	No, not really. I find them pretty boring.	(movies,no)|(documentaries,no)
11564	Horror movies just really aren't my thing, sorry.	(movie,yes)|(horror movie,no)
11984	That sounds cool, but honestly, I'm not that into physical activity.	(outdoors,no)|(physical activity,no)
10293	It was terrible. I had a never-ending meeting that lasted for hours.	(work,no)
8684	Not much really, just trying to catch up on some sleep. I've been so tired lately.	(health,yes)|(sleep,yes)
9585	"I really enjoyed ""The Notebook"". Have you watched it?"	(movie,yes)|(romantic movie,yes)|(The Notebook,yes)
10164	I like horror and thrillers. What about you?	(book,yes)|(book genre,yes)
6397	Not really. I don't have much interest in movies these days.	(movie,no)
9997	Yeah, I did. It was a great thriller novel.	(book,yes)|(thriller novel,yes)
9382	Same here. Work has been pretty busy.	(life experiences,no)
773	I enjoy eating Italian food, especially pizza.	(food,yes)|(food type,yes)|(pizza,yes)
5114	I really like The Shawshank Redemption.	(movie,yes)|(favorite,yes)|(The Shawshank Redemption,yes)
7297	Yeah, that sounds like fun. I've been thinking about going camping for a weekend.	(travel,yes)|(camping,yes)
176	I'm not really into TV.	(TV,no)
445	No, but I would love to go.	(art,yes)|(art museum visit,yes)
8806	Yes, I really like Stranger Things.	(TV show,yes)|(favorite TV show,yes)|(Stranger Things,yes)
8082	I like classical music too.	(music,yes)|(music genre,yes)|(classical music,yes)
2620	No, I'm not really into fitness.	(fitness,no)
4634	Yeah, I have. It's okay, I guess. But honestly, I don't really understand what all the hype is about.	(tea,no)|(Bubble tea,no)
11360	That's fine. Do you listen to any classical music instead?	(music,yes)|(genre,unknown)|(classical music,unknown)
10570	I'm not a huge fan of spicy food, so I don't like Thai food.	(food,no)
11621	I thought The Shining was great, but I also really enjoyed reading The Stand.	(books,yes)|(favorite book,yes)|(The Shining,yes)
2967	Not very good actually.	(weekend,no)
5268	No, I haven't. I'm not really into vegan food, so probably not interested in trying it out.	(food,no)|(vegan food,no)
12418	Not really into books these days.	(books,no)
12013	I try not to, it's always depressing.	(news,no)
4139	I had the lasagna and it was really good.	(food,yes)|(food order,yes)|(lasagna,yes)
2373	Yeah, I've also been to France but I wasn't a huge fan. I found it too crowded and the people were rude.	(travel,yes)|(France,no)
7014	Not really, I'm not a music person.	(music,no)
12146	I like mystery and thriller books.	(book,yes)|(book genre,yes)|(mystery and thriller books,yes)
3996	Not really, I'm a bit of a homebody to be honest.	(travel,no)
8651	Sorry, I don't really care for reality TV. Is there something else you'd like to talk about?	(TV shows,no)
10136	Not really. I don't have much time for reading these days.	(book,no)
12722	No, not really. I find them quite boring.	(art,no)|(museums,no)
9589	No, I didn't. That's terrible.	(news,yes)
6758	I do like music, yeah. What's your favorite kind?	(music,yes)
11680	It was good, I went to my grandma's house.	(family,yes)|(grandma,yes)
11251	Just worked from home all day. Pretty boring honestly.	(work,no)
13106	I listen to a lot of different genres, but I'm really into indie rock right now. What about you?	(music,yes)|(music genre,yes)
11358	I like hip hop and R&B.	(music,yes)|(genre,yes)|(hip hop and R&B,yes)
627	Not into sports, sorry.	(sports,no)
8057	Oh, I love Italian food. Maybe I'll have to check it out sometime.	(food,yes)|(cuisine,yes)|(Italian,yes)
7521	Have you watched Bridesmaids? It's hilarious.	(movie,yes)|(movie title,yes)|(Bridesmaids,yes)
2728	Nope, I haven't. Sorry.	(Stephen King books,no)
11196	No, I'm not really into fad diets.	(weight loss,no)
8387	No, I'm not musically inclined.	(music,no)|(instruments,no)
3327	Not really, I don't really follow sports that closely.	(sports,no)
12094	No, I don't really want to talk about politics. Let's talk about something else, okay?	(others,yes)|(conversation,yes)
10991	No, I'm not really into live music. It's not really my thing.	(music,no)
6003	Sure, I love comedy. What's your favorite one?	(TV shows,yes)|(favorite TV show,unknown)
12078	It varies, but right now I'm working on a new app for tracking productivity.	(technology,yes)|(project,yes)|(productivity app,yes)
8533	Mama Mia's? That's a terrible name.	(food,yes)|(restaurant,no)
13281	Actually, no, I've never been.	(Paris,no)
6707	Yep, it's one of my favorites.	(music,yes)
2084	Yes! I loved it.	(TV show,yes)|(Stranger Things,yes)
4091	Oh, not much. Just stayed home and binged on a new Netflix series.	(TV shows,yes)|(Netflix series,yes)
4260	I do, but I haven't been able to lately because of the pandemic.	(travel,yes)
174	I love action movies, especially the ones with car chases.	(movies,yes)|(movie genre,yes)|(car chases,yes)
11751	Yeah, I know the basics, but it doesn't really interest me.	(finance,yes)|(Bitcoin,no)
9872	Mostly just places for work, nothing too exciting.	(travel,no)
3401	Yeah, I don't really like her music.	(music,yes)|(artist,no)|(Beyonce,no)
7193	I haven't really had the time to go to the cinema lately.	(movies,no)
12682	No, sorry. I don't watch much TV these days.	(TV shows,yes)|(TV show recommendations,no)
4564	Not really. With COVID, it's been hard to travel.	(travel,no)
3487	No problem.	(personal,no)|(conversation,yes)
4066	I particularly loved the character development of Walter White.	(TV Shows,yes)|(Character Development,yes)
2791	"Yeah, I have been watching this new series on Netflix called ""The Last Dance"". It's a documentary about Michael Jordan."	(TV shows,yes)|(The Last Dance,yes)
10175	Oh, that's cool. I'm really not much of an animal person in general, honestly.	(pets,no)
9890	Actually, I haven't been going out of town for ages now.	(travel,no)
7229	Mostly comedy and funny stuff.	(online videos,yes)|(video genre,yes)|(comedy,yes)
1366	Yeah, I saw John Wick the other day. It was awesome.	(movies,yes)|(movie,yes)|(John Wick,yes)
2699	No, not really. I don't watch a lot of movies.	(movie,no)
12924	Mostly just shooters and sports games. Nothing too complicated.	(entertainment,yes)|(video games,yes)|(shooters,yes)
5238	It was okay.	(day,unknown)
10305	Not really, I find them to be a bit boring, to be honest.	(movies,no)
2113	That's scary.	(news,yes)
1955	"It was called ""The True History of Chocolate"" by Sophie and Michael Coe."	(books,yes)|(book recommendation,yes)
9658	Actually, I watched a terrible one last night.	(movies,no)|(terrible movie,no)
5796	I'm not a big fan of sushi, but I do like Asian food.	(food,yes)|(Asian food,yes)
11013	Not really. I find them pretty boring.	(movie,no)
11872	Nope, I'm allergic to cats and dogs.	(pets,no)
3145	Oh, I'm not interested in organic food.	(food,yes)|(organic food,no)
336	Mostly comedies, like The Office.	(TV series,yes)|(comedies,yes)|(The Office,yes)
10046	No, I haven't. I've never seen snow before.	(activity,yes)|(snowboarding,yes)
8410	Pretty boring, to be honest.	(daily routine,no)
10147	No, not really. I used to play soccer in high school, but I don't play regularly now.	(sports,yes)|(individual sports,no)
12038	Not really. I'm not a big movie person.	(movies,no)
2385	Honestly, I've just been binge-watching a lot of reality TV lately.	(TV,no)|(reality TV,no)
10880	Alright, well, we can always grab burgers at that place we went to last time. That was good.	(food,yes)|(restaurant,yes)
1544	Not really. I haven't had much time to watch anything lately.	(movie,no)
5969	Yeah, I just started watching Stranger Things on Netflix. It's really interesting.	(TV show,yes)|(TV show title,yes)|(Stranger Things,yes)
4961	Not really, I'm not really into TV.	(TV shows,no)
10818	I'm doing fine, thanks.	(general,yes)
1389	I like playing sports and watching movies.	(hobbies,yes)|(sports,yes)
4603	Yes, I love listening to classic rock music. What about you?	(music,yes)|(music genre,yes)|(classic rock,yes)
11438	Hmm, I haven't played video games in a while, but I heard it's good.	(games,no)
6740	Not really, just watching TV.	(hobbies,no)|(TV watching,no)
9870	Not really. I used to play sports, but I haven't had time for that lately either.	(hobbie,no)
3167	That sounds cool. I might give it a try.	(movie,yes)
12706	Yes!	(food,yes)|(sushi,yes)
7018	Yes, likewise. Take care!	(farewell,yes)
1862	Probably Final Fantasy VII. What about you?	(activities,yes)|(video games,unknown)
9595	That's a good point. I'll definitely start planning something.	(travel,yes)
1054	Yeah, you too.	(general,yes)
3036	Actually, I watched Parasite the other day and it was fantastic.	(movies,yes)|(Parasite,yes)
2367	No, hiking's not really my thing either.	(outdoor activity,no)|(hiking,no)
380	Actually, I'm not really a movie person.	(movie,no)
4479	No, I haven't had the chance. But I'd love to visit someday.	(travel,yes)|(Italy,yes)
7924	I don't know, I'm not really into winter sports.	(skiing,no)|(winter sports,no)
3055	Not really. I guess I don't like talking about politics.	(politics,no)
7353	"I watched ""The Shawshank Redemption,"" it's my favorite movie."	(movie,yes)|(favorite movie,yes)
